epoch,step,train_loss_epoch,train_loss_step,val/mse,val/r2,val_loss
18,1082,0.09845896065235138,,,,
19,1099,,0.09336009621620178,,,
19,1139,,,0.17053653299808502,0.8320368528366089,0.17053653299808502
19,1139,0.09412258863449097,,,,
20,1149,,0.07482073456048965,,,
20,1196,,,0.15290828049182892,0.8493990898132324,0.15290828049182892
20,1196,0.09238874912261963,,,,
21,1199,,0.08296570181846619,,,
21,1249,,0.05046724155545235,,,
21,1253,,,0.15826956927776337,0.8441187143325806,0.15826956927776337
21,1253,0.08691152185201645,,,,
22,1299,,0.08867133408784866,,,
22,1310,,,0.15695352852344513,0.8454148769378662,0.15695352852344513
22,1310,0.08432812243700027,,,,
23,1349,,0.08365478366613388,,,
23,1367,,,0.1472758799791336,0.854946494102478,0.1472758799791336
23,1367,0.08167971670627594,,,,
24,1399,,0.08540946245193481,,,
24,1424,,,0.15110962092876434,0.8511705994606018,0.15110962092876434
24,1424,0.07722795009613037,,,,
25,1449,,0.11168619245290756,,,
25,1481,,,0.1481783092021942,0.8540576696395874,0.1481783092021942
25,1481,0.07082424312829971,,,,
26,1499,,0.0810023844242096,,,
26,1538,,,0.14781272411346436,0.8544178009033203,0.14781272411346436
26,1538,0.07204437255859375,,,,
27,1549,,0.05651899427175522,,,
27,1595,,,0.14753574132919312,0.8546905517578125,0.14753574132919312
27,1595,0.0702669620513916,,,,
28,1599,,0.07964736223220825,,,
28,1649,,0.0533427968621254,,,
28,1652,,,0.15740256011486053,0.8449726104736328,0.15740256011486053
28,1652,0.06737840920686722,,,,
29,1699,,0.04732591658830643,,,
29,1709,,,0.1513424962759018,0.8509412407875061,0.1513424962759018
29,1709,0.0733775645494461,,,,
30,1749,,0.049313221126794815,,,
30,1766,,,0.14197760820388794,0.8601648211479187,0.14197760820388794
30,1766,0.06892223656177521,,,,
31,1799,,0.057610251009464264,,,
31,1823,,,0.14083606004714966,0.8612891435623169,0.14083606004714966
31,1823,0.06040544807910919,,,,
32,1849,,0.05522933974862099,,,
32,1880,,,0.15079762041568756,0.8514779210090637,0.15079762041568756
32,1880,0.05665815249085426,,,,
33,1899,,0.054853424429893494,,,
33,1937,,,0.14404717087745667,0.8581265211105347,0.14404717087745667
